"target","item_id","timestamp"
137.05999755859375,0,"2019-11-11"
137.42999267578125,0,"2019-11-12"
137.97999572753906,0,"2019-11-13"
138.55999755859375,0,"2019-11-14"
138.2100067138672,0,"2019-11-15"
138.6199951171875,0,"2019-11-18"
138.69000244140625,0,"2019-11-19"
138.75999450683594,0,"2019-11-20"
138,0,"2019-11-21"
137.74000549316406,0,"2019-11-22"
137.0800018310547,0,"2019-11-25"
137.74000549316406,0,"2019-11-26"
137.00999450683594,0,"2019-11-27"
137.86000061035156,0,"2019-11-29"
137.7899932861328,0,"2019-12-02"
139.11000061035156,0,"2019-12-03"
138.9199981689453,0,"2019-12-04"
139,0,"2019-12-05"
137.6199951171875,0,"2019-12-06"
137.5800018310547,0,"2019-12-09"
137.97000122070312,0,"2019-12-10"
138.9199981689453,0,"2019-12-11"
138.42999267578125,0,"2019-12-12"
139.0500030517578,0,"2019-12-13"
139.0399932861328,0,"2019-12-16"
139.00999450683594,0,"2019-12-17"
139.02000427246094,0,"2019-12-18"
139.3800048828125,0,"2019-12-19"
139.52000427246094,0,"2019-12-20"
139.9499969482422,0,"2019-12-23"
141.27000427246094,0,"2019-12-24"
142.3800048828125,0,"2019-12-26"
142.3300018310547,0,"2019-12-27"
142.6300048828125,0,"2019-12-30"
142.89999389648438,0,"2019-12-31"
143.9499969482422,0,"2020-01-02"
145.86000061035156,0,"2020-01-03"
147.38999938964844,0,"2020-01-06"
147.97000122070312,0,"2020-01-07"
146.86000061035156,0,"2020-01-08"
146.02999877929688,0,"2020-01-09"
146.91000366210938,0,"2020-01-10"
145.82000732421875,0,"2020-01-13"
145.69000244140625,0,"2020-01-14"
146.5399932861328,0,"2020-01-15"
146.30999755859375,0,"2020-01-16"
146.5800018310547,0,"2020-01-17"
146.74000549316406,0,"2020-01-21"
146.7899932861328,0,"2020-01-22"
147.1199951171875,0,"2020-01-23"
147.97999572753906,0,"2020-01-24"
148.99000549316406,0,"2020-01-27"
147.66000366210938,0,"2020-01-28"
148.4600067138672,0,"2020-01-29"
148.47000122070312,0,"2020-01-30"
149.3300018310547,0,"2020-01-31"
148.36000061035156,0,"2020-02-03"
146.42999267578125,0,"2020-02-04"
146.61000061035156,0,"2020-02-05"
147.39999389648438,0,"2020-02-06"
147.7899932861328,0,"2020-02-07"
148.1699981689453,0,"2020-02-10"
147.66000366210938,0,"2020-02-11"
147.5399932861328,0,"2020-02-12"
148.3800048828125,0,"2020-02-13"
149,0,"2020-02-14"
150.91000366210938,0,"2020-02-18"
151.7899932861328,0,"2020-02-19"
152.41000366210938,0,"2020-02-20"
154.6999969482422,0,"2020-02-21"
156.08999633789062,0,"2020-02-24"
153.3000030517578,0,"2020-02-25"
153.97000122070312,0,"2020-02-26"
154,0,"2020-02-27"
148.3800048828125,0,"2020-02-28"
149.1999969482422,0,"2020-03-02"
153.88999938964844,0,"2020-03-03"
154.16000366210938,0,"2020-03-04"
157.49000549316406,0,"2020-03-05"
157.5500030517578,0,"2020-03-06"
157.80999755859375,0,"2020-03-09"
154.47999572753906,0,"2020-03-10"
153.92999267578125,0,"2020-03-11"
147.7899932861328,0,"2020-03-12"
143.27999877929688,0,"2020-03-13"
141.63999938964844,0,"2020-03-16"
143.55999755859375,0,"2020-03-17"
140.6999969482422,0,"2020-03-18"
138.0399932861328,0,"2020-03-19"
140.11000061035156,0,"2020-03-20"
146.3000030517578,0,"2020-03-23"
153.39999389648438,0,"2020-03-24"
151.3000030517578,0,"2020-03-25"
153.24000549316406,0,"2020-03-26"
152.25,0,"2020-03-27"
152.9199981689453,0,"2020-03-30"
148.0500030517578,0,"2020-03-31"
149.4499969482422,0,"2020-04-01"
151.89999389648438,0,"2020-04-02"
152.64999389648438,0,"2020-04-03"
156.8800048828125,0,"2020-04-06"
156.0399932861328,0,"2020-04-07"
154.64999389648438,0,"2020-04-08"
158.69000244140625,0,"2020-04-09"
161.41000366210938,0,"2020-04-13"
162.67999267578125,0,"2020-04-14"
161.85000610351562,0,"2020-04-15"
161.7100067138672,0,"2020-04-16"
158.57000732421875,0,"2020-04-17"
159.6999969482422,0,"2020-04-20"
158.61000061035156,0,"2020-04-21"
161.72999572753906,0,"2020-04-22"
163.33999633789062,0,"2020-04-23"
162.63999938964844,0,"2020-04-24"
161.55999755859375,0,"2020-04-27"
160.83999633789062,0,"2020-04-28"
161.72999572753906,0,"2020-04-29"
158.8000030517578,0,"2020-04-30"
159.77999877929688,0,"2020-05-01"
160.33999633789062,0,"2020-05-04"
161.02000427246094,0,"2020-05-05"
158.9499969482422,0,"2020-05-06"
161.38999938964844,0,"2020-05-07"
160.4199981689453,0,"2020-05-08"
159.4199981689453,0,"2020-05-11"
160.0399932861328,0,"2020-05-12"
161.5800018310547,0,"2020-05-13"
163.00999450683594,0,"2020-05-14"
163.92999267578125,0,"2020-05-15"
162.69000244140625,0,"2020-05-18"
164.25999450683594,0,"2020-05-19"
164.64999389648438,0,"2020-05-20"
162.25,0,"2020-05-21"
163.2100067138672,0,"2020-05-22"
160.88999938964844,0,"2020-05-26"
161.17999267578125,0,"2020-05-27"
161.72000122070312,0,"2020-05-28"
162.91000366210938,0,"2020-05-29"
163.66000366210938,0,"2020-06-01"
162.60000610351562,0,"2020-06-02"
159.60000610351562,0,"2020-06-03"
161.27999877929688,0,"2020-06-04"
158.00999450683594,0,"2020-06-05"
159.72000122070312,0,"2020-06-08"
161.25999450683594,0,"2020-06-09"
163.57000732421875,0,"2020-06-10"
162.38999938964844,0,"2020-06-11"
162.6199951171875,0,"2020-06-12"
