"timestamp","target","item_id"
"2018-02-05",254.259995,0
"2018-02-06",265.720001,0
"2018-02-07",264.559998,0
"2018-02-08",250.100006,0
"2018-02-09",249.470001,0
"2018-02-12",257.950012,0
"2018-02-13",258.269989,0
"2018-02-14",266,0
"2018-02-15",280.269989,0
"2018-02-16",278.519989,0
"2018-02-20",278.549988,0
"2018-02-21",281.040009,0
"2018-02-22",278.140015,0
"2018-02-23",285.929993,0
"2018-02-26",294.160004,0
"2018-02-27",290.609985,0
"2018-02-28",291.380005,0
"2018-03-01",290.390015,0
"2018-03-02",301.049988,0
"2018-03-05",315,0
"2018-03-06",325.220001,0
"2018-03-07",321.160004,0
"2018-03-08",317,0
"2018-03-09",331.440002,0
"2018-03-12",321.299988,0
"2018-03-13",315.880005,0
"2018-03-14",321.549988,0
"2018-03-15",321.089996,0
"2018-03-16",318.450012,0
"2018-03-19",313.480011,0
"2018-03-20",317.5,0
"2018-03-21",316.480011,0
"2018-03-22",306.700012,0
"2018-03-23",300.940002,0
"2018-03-26",320.350006,0
"2018-03-27",300.690002,0
"2018-03-28",285.769989,0
"2018-03-29",295.350006,0
"2018-04-02",280.290009,0
"2018-04-03",283.670013,0
"2018-04-04",288.940002,0
"2018-04-05",293.970001,0
"2018-04-06",288.850006,0
"2018-04-09",289.929993,0
"2018-04-10",298.070007,0
"2018-04-11",303.670013,0
"2018-04-12",309.25,0
"2018-04-13",311.649994,0
"2018-04-16",307.779999,0
"2018-04-17",336.059998,0
"2018-04-18",334.519989,0
"2018-04-19",332.700012,0
"2018-04-20",327.769989,0
"2018-04-23",318.690002,0
"2018-04-24",307.019989,0
"2018-04-25",305.76001,0
"2018-04-26",313.980011,0
"2018-04-27",311.76001,0
"2018-04-30",312.459991,0
"2018-05-01",313.299988,0
"2018-05-02",313.359985,0
"2018-05-03",311.690002,0
"2018-05-04",320.089996,0
"2018-05-07",326.26001,0
"2018-05-08",326.890015,0
"2018-05-09",330.299988,0
"2018-05-10",329.600006,0
"2018-05-11",326.459991,0
"2018-05-14",328.529999,0
"2018-05-15",326.130005,0
"2018-05-16",328.190002,0
"2018-05-17",325.220001,0
"2018-05-18",324.179993,0
"2018-05-21",331.820007,0
"2018-05-22",331.619995,0
"2018-05-23",344.720001,0
"2018-05-24",349.290009,0
"2018-05-25",351.290009,0
"2018-05-29",349.730011,0
"2018-05-30",353.540009,0
"2018-05-31",351.600006,0
"2018-06-01",359.929993,0
"2018-06-04",361.809998,0
"2018-06-05",365.799988,0
"2018-06-06",367.450012,0
"2018-06-07",361.399994,0
"2018-06-08",360.570007,0
"2018-06-11",361.450012,0
"2018-06-12",363.829987,0
"2018-06-13",379.929993,0
"2018-06-14",392.869995,0
